"filename", "language", "JavaScript", "JSON", "Properties", "Vue", "HTML", "CSS", "Markdown", "JSON with Comments", "comment", "blank", "total"
"d:\DEV\paper\formend\movie_recommendation\.env", "Properties", 0, 0, 2, 0, 0, 0, 0, 0, 0, 1, 3
"d:\DEV\paper\formend\movie_recommendation\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 19, 0, 0, 6, 25
"d:\DEV\paper\formend\movie_recommendation\babel.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"d:\DEV\paper\formend\movie_recommendation\jsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 19, 0, 1, 20
"d:\DEV\paper\formend\movie_recommendation\package-lock.json", "JSON", 0, 21430, 0, 0, 0, 0, 0, 0, 0, 1, 21431
"d:\DEV\paper\formend\movie_recommendation\package.json", "JSON", 0, 55, 0, 0, 0, 0, 0, 0, 0, 1, 56
"d:\DEV\paper\formend\movie_recommendation\public\index.html", "HTML", 0, 0, 0, 0, 16, 0, 0, 0, 1, 1, 18
"d:\DEV\paper\formend\movie_recommendation\src\App.vue", "Vue", 0, 0, 0, 82, 0, 0, 0, 0, 0, 7, 89
"d:\DEV\paper\formend\movie_recommendation\src\assets\base.css", "CSS", 0, 0, 0, 0, 0, 16, 0, 0, 8, 1, 25
"d:\DEV\paper\formend\movie_recommendation\src\components\Header.vue", "Vue", 0, 0, 0, 120, 0, 0, 0, 0, 0, 11, 131
"d:\DEV\paper\formend\movie_recommendation\src\components\HelloI18n.vue", "Vue", 0, 0, 0, 25, 0, 0, 0, 0, 0, 6, 31
"d:\DEV\paper\formend\movie_recommendation\src\components\Menu.vue", "Vue", 0, 0, 0, 170, 0, 0, 0, 0, 0, 19, 189
"d:\DEV\paper\formend\movie_recommendation\src\components\RightArrow.vue", "Vue", 0, 0, 0, 20, 0, 0, 0, 0, 0, 3, 23
"d:\DEV\paper\formend\movie_recommendation\src\components\home\banner.vue", "Vue", 0, 0, 0, 119, 0, 0, 0, 0, 7, 9, 135
"d:\DEV\paper\formend\movie_recommendation\src\components\home\carousel\featuredCarouselItem.vue", "Vue", 0, 0, 0, 96, 0, 0, 0, 0, 0, 9, 105
"d:\DEV\paper\formend\movie_recommendation\src\components\home\carousel\homeCarouselItem.vue", "Vue", 0, 0, 0, 114, 0, 0, 0, 0, 0, 16, 130
"d:\DEV\paper\formend\movie_recommendation\src\components\home\carousel\movieCard.vue", "Vue", 0, 0, 0, 128, 0, 0, 0, 0, 0, 15, 143
"d:\DEV\paper\formend\movie_recommendation\src\components\home\carousel\newsCard.vue", "Vue", 0, 0, 0, 79, 0, 0, 0, 0, 0, 11, 90
"d:\DEV\paper\formend\movie_recommendation\src\components\home\carousel\nextCarouselItem.vue", "Vue", 0, 0, 0, 89, 0, 0, 0, 0, 0, 11, 100
"d:\DEV\paper\formend\movie_recommendation\src\components\home\carousel\starCard.vue", "Vue", 0, 0, 0, 59, 0, 0, 0, 0, 0, 7, 66
"d:\DEV\paper\formend\movie_recommendation\src\components\home\explore.vue", "Vue", 0, 0, 0, 170, 0, 0, 0, 0, 11, 6, 187
"d:\DEV\paper\formend\movie_recommendation\src\components\home\featured.vue", "Vue", 0, 0, 0, 68, 0, 0, 0, 0, 0, 5, 73
"d:\DEV\paper\formend\movie_recommendation\src\components\home\recent.vue", "Vue", 0, 0, 0, 99, 0, 0, 0, 0, 0, 3, 102
"d:\DEV\paper\formend\movie_recommendation\src\components\home\scrollList\emptyMovieList.vue", "Vue", 0, 0, 0, 56, 0, 0, 0, 0, 0, 8, 64
"d:\DEV\paper\formend\movie_recommendation\src\components\home\scrollList\featuredScrollList.vue", "Vue", 0, 0, 0, 125, 0, 0, 0, 0, 3, 15, 143
"d:\DEV\paper\formend\movie_recommendation\src\components\home\scrollList\movieScrollList.vue", "Vue", 0, 0, 0, 125, 0, 0, 0, 0, 3, 14, 142
"d:\DEV\paper\formend\movie_recommendation\src\components\home\scrollList\newsScrollList.vue", "Vue", 0, 0, 0, 127, 0, 0, 0, 0, 3, 15, 145
"d:\DEV\paper\formend\movie_recommendation\src\components\home\scrollList\starScrollList.vue", "Vue", 0, 0, 0, 124, 0, 0, 0, 0, 3, 15, 142
"d:\DEV\paper\formend\movie_recommendation\src\components\home\watchlist.vue", "Vue", 0, 0, 0, 377, 0, 0, 0, 0, 0, 7, 384
"d:\DEV\paper\formend\movie_recommendation\src\components\menu\avatarItem.vue", "Vue", 0, 0, 0, 106, 0, 0, 0, 0, 0, 2, 108
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\filiter.vue", "Vue", 0, 0, 0, 34, 0, 0, 0, 0, 0, 4, 38
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\filiterMenu\award.vue", "Vue", 0, 0, 0, 102, 0, 0, 0, 0, 0, 3, 105
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\filiterMenu\filiterCollaboration.vue", "Vue", 0, 0, 0, 70, 0, 0, 0, 0, 0, 12, 82
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\filiterMenu\filiterName.vue", "Vue", 0, 0, 0, 120, 0, 0, 0, 0, 0, 8, 128
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\filiterMenu\filiterTitle.vue", "Vue", 0, 0, 0, 102, 0, 0, 0, 0, 0, 10, 112
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\filiterMenu\foreignArea.vue", "Vue", 0, 0, 0, 252, 0, 0, 0, 0, 0, 10, 262
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\filiterMenu\genre.vue", "Vue", 0, 0, 0, 266, 0, 0, 0, 0, 1, 3, 270
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\filiterMenu\personAward.vue", "Vue", 0, 0, 0, 94, 0, 0, 0, 0, 0, 3, 97
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\header.vue", "Vue", 0, 0, 0, 25, 0, 0, 0, 0, 1, 3, 29
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\result.vue", "Vue", 0, 0, 0, 92, 0, 0, 0, 0, 0, 4, 96
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\resultItems\compactMovieCard.vue", "Vue", 0, 0, 0, 69, 0, 0, 0, 0, 0, 7, 76
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\resultItems\detialMovieCard.vue", "Vue", 0, 0, 0, 147, 0, 0, 0, 0, 0, 10, 157
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\resultItems\gridDisplay.vue", "Vue", 0, 0, 0, 36, 0, 0, 0, 0, 0, 4, 40
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\resultItems\gridMovieCard.vue", "Vue", 0, 0, 0, 73, 0, 0, 0, 0, 0, 7, 80
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\resultItems\lineDisplay.vue", "Vue", 0, 0, 0, 49, 0, 0, 0, 0, 0, 4, 53
"d:\DEV\paper\formend\movie_recommendation\src\components\movieStore\tagBar.vue", "Vue", 0, 0, 0, 127, 0, 0, 0, 0, 3, 15, 145
"d:\DEV\paper\formend\movie_recommendation\src\components\personal\Info.vue", "Vue", 0, 0, 0, 141, 0, 0, 0, 0, 1, 4, 146
"d:\DEV\paper\formend\movie_recommendation\src\components\personal\PersonalDia.vue", "Vue", 0, 0, 0, 175, 0, 0, 0, 0, 1, 13, 189
"d:\DEV\paper\formend\movie_recommendation\src\components\personal\collection.vue", "Vue", 0, 0, 0, 52, 0, 0, 0, 0, 0, 5, 57
"d:\DEV\paper\formend\movie_recommendation\src\components\personal\collectionItem.vue", "Vue", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"d:\DEV\paper\formend\movie_recommendation\src\components\personal\comment.vue", "Vue", 0, 0, 0, 43, 0, 0, 0, 0, 0, 3, 46
"d:\DEV\paper\formend\movie_recommendation\src\components\personal\commentItem.vue", "Vue", 0, 0, 0, 10, 0, 0, 0, 0, 0, 1, 11
"d:\DEV\paper\formend\movie_recommendation\src\components\personal\like.vue", "Vue", 0, 0, 0, 136, 0, 0, 0, 0, 2, 15, 153
"d:\DEV\paper\formend\movie_recommendation\src\components\personal\recent.vue", "Vue", 0, 0, 0, 91, 0, 0, 0, 0, 2, 7, 100
"d:\DEV\paper\formend\movie_recommendation\src\components\trailerPlay.vue", "Vue", 0, 0, 0, 65, 0, 0, 0, 0, 0, 9, 74
"d:\DEV\paper\formend\movie_recommendation\src\components\watchList\watchListDisplay.vue", "Vue", 0, 0, 0, 47, 0, 0, 0, 0, 0, 5, 52
"d:\DEV\paper\formend\movie_recommendation\src\i18n.js", "JavaScript", 19, 0, 0, 0, 0, 0, 0, 0, 6, 3, 28
"d:\DEV\paper\formend\movie_recommendation\src\js\api\actors.js", "JavaScript", 107, 0, 0, 0, 0, 0, 0, 0, 0, 9, 116
"d:\DEV\paper\formend\movie_recommendation\src\js\api\collection.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 21, 6, 103
"d:\DEV\paper\formend\movie_recommendation\src\js\api\comment.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 2, 7, 100
"d:\DEV\paper\formend\movie_recommendation\src\js\api\direction.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 1, 7, 99
"d:\DEV\paper\formend\movie_recommendation\src\js\api\info.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 1, 1, 18
"d:\DEV\paper\formend\movie_recommendation\src\js\api\like.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 4, 5, 70
"d:\DEV\paper\formend\movie_recommendation\src\js\api\movie.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 0, 8, 114
"d:\DEV\paper\formend\movie_recommendation\src\js\api\news.js", "JavaScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 5, 81
"d:\DEV\paper\formend\movie_recommendation\src\js\api\recent.js", "JavaScript", 31, 0, 0, 0, 0, 0, 0, 0, 2, 2, 35
"d:\DEV\paper\formend\movie_recommendation\src\js\api\recommend.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 4, 5, 70
"d:\DEV\paper\formend\movie_recommendation\src\js\api\user.js", "JavaScript", 103, 0, 0, 0, 0, 0, 0, 0, 11, 8, 122
"d:\DEV\paper\formend\movie_recommendation\src\js\api\watchlist.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 19, 7, 87
"d:\DEV\paper\formend\movie_recommendation\src\js\comingSoon.js", "JavaScript", 368, 0, 0, 0, 0, 0, 0, 0, 2, 6, 376
"d:\DEV\paper\formend\movie_recommendation\src\js\movieFiliter.js", "JavaScript", 447, 0, 0, 0, 0, 0, 0, 0, 3, 18, 468
"d:\DEV\paper\formend\movie_recommendation\src\js\populerMovie.js", "JavaScript", 368, 0, 0, 0, 0, 0, 0, 0, 2, 6, 376
"d:\DEV\paper\formend\movie_recommendation\src\js\request.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 8, 4, 40
"d:\DEV\paper\formend\movie_recommendation\src\js\tool.js", "JavaScript", 41, 0, 0, 0, 0, 0, 0, 0, 9, 10, 60
"d:\DEV\paper\formend\movie_recommendation\src\langurage\zh.js", "JavaScript", 28, 0, 0, 0, 0, 0, 0, 0, 1, 7, 36
"d:\DEV\paper\formend\movie_recommendation\src\main.js", "JavaScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 5, 21
"d:\DEV\paper\formend\movie_recommendation\src\router\index.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 0, 17, 7, 144
"d:\DEV\paper\formend\movie_recommendation\src\store\index.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 2, 3, 61
"d:\DEV\paper\formend\movie_recommendation\src\undefined\undefined.json", "JSON", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\DEV\paper\formend\movie_recommendation\src\views\AboutView.vue", "Vue", 0, 0, 0, 5, 0, 0, 0, 0, 0, 1, 6
"d:\DEV\paper\formend\movie_recommendation\src\views\ActivityView.vue", "Vue", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\DEV\paper\formend\movie_recommendation\src\views\ComingSoonView.vue", "Vue", 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"d:\DEV\paper\formend\movie_recommendation\src\views\CommunityView.vue", "Vue", 0, 0, 0, 9, 0, 0, 0, 0, 0, 2, 11
"d:\DEV\paper\formend\movie_recommendation\src\views\Error404View.vue", "Vue", 0, 0, 0, 244, 0, 0, 0, 0, 1, 29, 274
"d:\DEV\paper\formend\movie_recommendation\src\views\HomeView.vue", "Vue", 0, 0, 0, 44, 0, 0, 0, 0, 2, 11, 57
"d:\DEV\paper\formend\movie_recommendation\src\views\LoginView.vue", "Vue", 0, 0, 0, 344, 0, 0, 0, 0, 3, 10, 357
"d:\DEV\paper\formend\movie_recommendation\src\views\MovieStoreView.vue", "Vue", 0, 0, 0, 70, 0, 0, 0, 0, 0, 11, 81
"d:\DEV\paper\formend\movie_recommendation\src\views\PersonalView.vue", "Vue", 0, 0, 0, 306, 0, 0, 0, 0, 3, 32, 341
"d:\DEV\paper\formend\movie_recommendation\src\views\PopulerMovieView.vue", "Vue", 0, 0, 0, 32, 0, 0, 0, 0, 0, 2, 34
"d:\DEV\paper\formend\movie_recommendation\src\views\WatchListView.vue", "Vue", 0, 0, 0, 93, 0, 0, 0, 0, 0, 9, 102
"d:\DEV\paper\formend\movie_recommendation\vue.config.js", "JavaScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 2, 17
"Total", "-", 2391, 21488, 2, 6094, 16, 16, 19, 19, 174, 649, 30868
